timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1764077223719,3.929612875,-5.078765869,-9.382257462,-1.172056317,4.203130722,0.592952371,Backstroke
1764077223818,3.077169895,-2.823530674,-6.001797199,0.518517077,4.459859371,-2.372075796,Backstroke
1764077223918,8.483154297,-2.95752883,-8.304888725,0.518517077,4.459859371,-2.372075796,Backstroke
1764077224016,8.746364594,3.769891977,-6.5760746,2.033055544,-0.381497532,-2.673412323,Backstroke
1764077224117,6.419344902,4.071387768,-6.236293793,2.033055544,-0.381497532,-2.673412323,Backstroke
1764077224217,8.038089752,3.070589542,-5.647061348,3.133206606,-0.959669411,-3.006307125,Backstroke
1764077224319,10.25982571,-0.510867655,-6.824928284,3.133206606,-0.959669411,-3.006307125,Backstroke
1764077224416,8.8474617,2.026720762,-9.391828537,2.020405769,-0.119575843,-1.582715511,Backstroke
1764077224518,-0.044865426,-1.607378602,-7.715656757,2.020405769,-0.119575843,-1.582715511,Backstroke
1764077224617,12.17527962,1.170090318,-4.335196495,0.502538145,1.742238641,-1.719069242,Backstroke
1764077224717,8.598010063,1.629512191,-4.330410957,0.502538145,1.742238641,-1.719069242,Backstroke
1764077224817,12.76869965,-0.424726009,-6.030511379,0.502538145,1.742238641,-1.719069242,Backstroke
1764077224919,9.83868885,0.542572558,-5.063212872,1.344895363,0.989097297,-0.162186384,Backstroke
1764077225018,1.487737536,4.469194412,-6.274579048,1.344895363,0.989097297,-0.162186384,Backstroke
1764077225118,7.568498135,-1.832303882,7.310073376,0.836231947,1.557681799,0.084954776,Backstroke
1764077225218,9.440881729,-2.900100946,1.856232166,0.836231947,1.557681799,0.084954776,Backstroke
1764077225318,12.41934776,-9.824331284,0.754935563,-0.240749583,0.707734525,3.422159433,Backstroke
1764077225417,3.838685751,-8.04287529,2.167299032,-0.240749583,0.707734525,3.422159433,Backstroke
1764077225520,-0.835095108,-4.279563427,1.559522152,0.30493173,1.359143257,3.17381978,Backstroke
1764077225618,-2.831905603,-6.73100996,1.042074203,0.30493173,1.359143257,3.17381978,Backstroke
1764077225718,-6.097510338,-6.223731518,-1.92203474,-0.434094936,1.856355071,2.980341434,Backstroke
1764077225818,-10.83769226,-7.492526054,-2.606382132,-0.434094936,1.856355071,2.980341434,Backstroke
1764077225918,-3.52582407,-3.183052301,-3.028116941,-1.368863821,0.390419126,2.53799057,Backstroke
1764077226018,-12.16929817,-2.804388046,-4.972285271,-1.368863821,0.390419126,2.53799057,Backstroke
1764077226118,-5.718846321,-2.507678032,-9.276973724,-1.045955777,2.453035831,0.832769871,Backstroke
1764077226218,-5.968297958,-3.465405464,-9.97567749,-1.045955777,2.453035831,0.832769871,Backstroke
1764077226318,5.375475883,-1.368096352,-10.88076305,-0.209590629,4.656400681,-1.28896904,Backstroke
1764077226417,3.479164124,-1.042672515,-7.950153351,-0.209590629,4.656400681,-1.28896904,Backstroke
1764077226520,6.457630157,-0.678365231,-8.343173981,-0.22437115,2.686728001,-2.138117313,Backstroke
1764077226619,7.420143127,1.092921734,-8.520243645,-0.22437115,2.686728001,-2.138117313,Backstroke
1764077226718,8.157731056,4.301696777,-6.801000118,1.692437649,1.103879452,-2.686195374,Backstroke
1764077226816,5.945566177,4.564907551,-5.565705299,1.692437649,1.103879452,-2.686195374,Backstroke
1764077226916,9.359525681,3.832105398,-7.753942013,3.179545641,-0.443682313,-2.749312401,Backstroke
1764077227017,8.578866959,0.781854808,-10.67019463,3.179545641,-0.443682313,-2.749312401,Backstroke
1764077227117,8.133802414,2.831307411,-8.261817932,2.336922169,-0.040879492,-2.572611809,Backstroke
1764077227217,5.375475883,1.954936147,-4.445266247,2.336922169,-0.040879492,-2.572611809,Backstroke
1764077227317,7.942376614,2.112862349,-4.914259434,0.836231947,2.222939014,-1.078579426,Backstroke
