timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1.76E+12,-3.018545866,7.615158081,3.833899975,2.931871891,-0.47058022,0.24128221,Breaststroke
1.76E+12,-2.874976397,6.442076683,2.009372711,2.931871891,-0.47058022,0.24128221,Breaststroke
1.76E+12,-3.052045345,8.122436523,-0.308075905,1.785648227,0.677640855,0.483496547,Breaststroke
1.76E+12,-2.314457655,7.940581799,-1.251446247,1.785648227,0.677640855,0.483496547,Breaststroke
1.76E+12,0.979860902,9.69811058,-0.207577363,0.483896017,0.354066998,1.759416103,Breaststroke
1.76E+12,2.492722988,10.70847988,1.042074203,0.483896017,0.354066998,1.759416103,Breaststroke
1.76E+12,5.136193752,8.63031292,3.900899172,-0.825446188,1.110270977,2.094308376,Breaststroke
1.76E+12,6.62991333,4.272983074,9.987043381,-0.825446188,1.110270977,2.094308376,Breaststroke
1.76E+12,1.683948994,4.445266247,7.640881062,-2.231061459,1.241564751,1.407346487,Breaststroke
1.76E+12,-0.303290278,2.505883455,10.23111153,-2.231061459,1.241564751,1.407346487,Breaststroke
1.76E+12,-0.37986058,5.647061348,8.497511864,-1.154080033,1.906289339,-0.166314289,Breaststroke
1.76E+12,-4.31126833,3.420539856,8.368298531,-0.477504432,1.398424864,-1.448359132,Breaststroke
1.76E+12,-4.172484398,2.515454769,7.961519241,-0.477504432,1.398424864,-1.448359132,Breaststroke
1.76E+12,-3.837489367,3.18544507,9.00538826,1.082574129,0.414787024,-2.472210646,Breaststroke
1.76E+12,-6.805785656,4.847260475,5.227120876,1.082574129,0.414787024,-2.472210646,Breaststroke
1.76E+12,-5.714060307,6.829713821,5.337191105,2.515753269,-0.071638979,-1.588308096,Breaststroke
1.76E+12,-2.682952404,7.495516777,4.365106583,2.515753269,-0.071638979,-1.588308096,Breaststroke
1.76E+12,-4.138985157,7.159923553,1.798804402,2.442915916,-0.60573554,0.257261157,Breaststroke
1.76E+12,-3.765704632,7.806583881,0.448654234,2.442915916,-0.60573554,0.257261157,Breaststroke
1.76E+12,-3.286541939,8.285148621,-0.18843478,1.294827938,0.68776083,0.498010755,Breaststroke
1.76E+12,-0.873380244,8.70688343,-0.609571576,1.294827938,0.68776083,0.498010755,Breaststroke
1.76E+12,0.304486692,8.821739197,-0.556929469,0.331430137,0.325304896,1.68538022,Breaststroke
1.76E+12,3.168097258,9.745966911,-0.226719946,0.331430137,0.325304896,1.68538022,Breaststroke
1.76E+12,5.663212776,8.395816803,2.689532757,-0.302268565,0.726509809,1.779922366,Breaststroke
1.76E+12,5.897709846,6.28355217,8.267800331,-2.00562501,1.343430638,1.386307478,Breaststroke
1.76E+12,5.274977684,2.979662418,8.895318031,-2.00562501,1.343430638,1.386307478,Breaststroke
1.76E+12,3.752544165,6.662216663,10.03011417,-1.525856972,1.382712245,0.803608239,Breaststroke
1.76E+12,0.80757767,6.389434814,8.589036942,-1.525856972,1.382712245,0.803608239,Breaststroke
1.76E+12,-1.433300734,3.741178274,9.594022751,-0.670050859,1.447693229,-0.906938851,Breaststroke
1.76E+12,-3.961916208,2.783450842,8.19122982,-0.670050859,1.447693229,-0.906938851,Breaststroke
1.76E+12,-4.335196495,2.821736097,8.344370842,0.370711744,1.074318409,-2.165814161,Breaststroke
1.76E+12,-5.589633465,3.497110367,8.234300613,0.370711744,1.074318409,-2.165814161,Breaststroke
1.76E+12,-8.438887596,5.580062389,6.692724705,1.634913325,0.183624819,-2.537857533,Breaststroke
1.76E+12,-3.789632797,6.801000118,5.629713535,1.634913325,0.183624819,-2.537857533,Breaststroke
1.76E+12,-3.664607763,6.690930367,5.428118229,1.634913325,0.183624819,-2.537857533,Breaststroke
1.76E+12,5.148158073,7.932805061,3.153740168,1.634913325,0.183624819,-2.537857533,Breaststroke
1.76E+12,4.906482697,8.021938324,3.235096216,1.634913325,0.183624819,-2.537857533,Breaststroke
1.76E+12,3.642474174,7.56730175,3.982254982,0.017310534,0.189084291,0.185222715,Breaststroke
1.76E+12,2.857030153,9.659825325,3.278167009,0.017310534,0.189084291,0.185222715,Breaststroke
1.76E+12,3.541377544,8.246863365,2.488535643,0.096006885,-0.151001126,0.108656891,Breaststroke
1.76E+12,8.449654579,7.284350395,1.223928809,-0.022503695,-0.794420362,0.102531627,Breaststroke
1.76E+12,4.020540237,7.816154957,1.636092424,0.06058687,-0.223305896,-0.019707378,Breaststroke
1.76E+12,4.863411903,8.486743927,2.809173822,-0.096805833,0.78829509,-0.195609033,Breaststroke
1.76E+12,3.604189157,8.754739761,2.823530674,0.064448453,0.137419015,-0.072704241,Breaststroke
1.76E+12,3.647259951,7.193423271,3.000599623,0.112651631,0.144742697,0.101066887,Breaststroke
1.76E+12,5.102694511,7.476374149,2.746960402,0.112651631,0.144742697,0.101066887,Breaststroke
1.76E+12,3.311666489,9.410373688,3.752544165,-0.041412123,0.299339086,0.125301629,Breaststroke
1.76E+12,5.035695076,6.796214581,3.824328899,-0.119709,0.363254905,0.229564309,Breaststroke
1.76E+12,3.570689678,7.341778278,4.566701889,0.01105211,0.677774012,0.033688962,Breaststroke
1.76E+12,3.287738323,8.6590271,4.715056896,0.060986344,0.359260172,-0.027830012,Breaststroke
1.76E+12,4.872983456,7.974081516,5.902495384,-0.153797433,0.245676428,0.508530259,Breaststroke
1.76E+12,5.46161747,6.173482418,6.683153629,-0.486825496,0.602007091,0.810665607,Breaststroke
1.76E+12,5.432903767,3.875176191,7.520641804,-0.486958653,0.198671669,0.735298216,Breaststroke
1.76E+12,7.587640762,-0.424726009,9.690333366,-0.525840759,-0.205995351,0.330364883,Breaststroke
1.76E+12,6.476772785,5.412564754,5.749354839,-0.525840759,-0.205995351,0.330364883,Breaststroke
1.76E+12,5.097908497,3.73160696,7.429714203,-0.349273324,-0.138217956,0.377369642,Breaststroke
1.76E+12,3.014956474,1.864008784,8.483154297,-0.458196521,0.320777506,-0.057657395,Breaststroke
1.76E+12,5.46161747,2.093719721,8.052446365,-0.672713995,0.486026525,-1.21440053,Breaststroke
1.76E+12,0.448654234,4.684548378,8.665607452,-0.713327169,0.152199537,-2.004693031,Breaststroke
1.76E+12,0.687936485,5.081757069,5.318048477,1.006541014,-0.073236875,-2.476471663,Breaststroke
1.76E+12,-0.097507522,9.089735031,1.478166223,2.543050528,0.755538225,-0.992426217,Breaststroke
1.76E+12,4.140181541,10.12881851,0.80757767,1.562741756,0.455267042,1.782718658,Breaststroke
1.76E+12,9.254241943,3.132802963,5.849853039,-0.576307654,1.169260025,2.063682079,Breaststroke
1.76E+12,5.485546112,5.814558983,5.394618511,-0.938497245,1.036102057,1.814676642,Breaststroke
1.76E+12,5.562116146,4.224528313,7.923233986,-0.916925669,1.095623612,0.494016021,Breaststroke
1.76E+12,5.236692429,2.663809776,8.861818314,-0.916925669,1.095623612,0.494016021,Breaststroke
1.76E+12,0.802792013,0.221934304,9.723833084,-1.099751592,1.556083918,-1.138500571,Breaststroke
1.76E+12,-2.103889227,3.482753277,10.77248764,-0.145807967,0.582566082,-2.677939653,Breaststroke
1.76E+12,-3.099901676,6.293123722,7.176074982,1.721732378,0.138084799,-2.900846004,Breaststroke
1.76E+12,-3.176471949,6.235695839,3.632902861,2.393114805,0.223705366,-1.008804679,Breaststroke
1.76E+12,-0.37986058,8.069794655,1.28614223,1.610012889,0.268313289,0.86619252,Breaststroke
1.76E+12,3.570689678,8.697312355,-0.279362053,1.22385478,0.676176071,2.04756999,Breaststroke
1.76E+12,8.79960537,6.571289063,4.054039955,-0.598411858,1.408678055,2.37806797,Breaststroke
1.76E+12,9.915258408,4.244269371,6.616154671,-1.442766428,0.894155681,1.71507442,Breaststroke
1.76E+12,5.801996708,2.501097918,7.515855789,-1.015728831,1.507747531,0.450207055,Breaststroke
1.76E+12,4.446462631,3.353540897,9.101100922,-1.015728831,1.507747531,0.450207055,Breaststroke
1.76E+12,3.235096216,1.361516118,9.254241943,-0.837030888,1.351819515,-1.528520226,Breaststroke
1.76E+12,-1.117448211,1.524227977,10.69591713,-0.606933951,0.810266137,-2.661694288,Breaststroke
1.76E+12,0.223130718,4.813760757,8.334799767,1.351020575,0.100800574,-2.450106382,Breaststroke
